TXNAME,TXNAME*GENEID
NM_001183055.1,NM_001183055.1*YNL217W
NM_001183054.1,NM_001183054.1*RAP1
NM_001183053.1,NM_001183053.1*IES2
NM_001183052.1,NM_001183052.1*PEX17
NM_001183050.1,NM_001183050.1*VID27
NM_001183048.1,NM_001183048.1*MER1
NM_001183047.1,NM_001183047.1*SSB2
NM_001183046.1,NM_001183046.1*YNL208W
NM_001183045.1,NM_001183045.1*RIO2
NM_001183040.1,NM_001183040.1*SPS19
NM_001183031.2,NM_001183031.2*YNL193W
NM_001183030.2,NM_001183030.2*CHS1
NM_001183029.1,NM_001183029.1*DUG3
NM_001183028.1,NM_001183028.1*YNL190W
NM_001183027.1,NM_001183027.1*SRP1
NM_001183026.1,NM_001183026.1*KAR1
NM_001183025.1,NM_001183025.1*SWT21
NM_001183024.2,NM_001183024.2*UBP10
NM_001183019.2,NM_001183019.2*PBR1
NM_001183016.3,NM_001183016.3*RPS3
NM_001183010.4,NM_001183010.4*APC1
NM_001183003.3,NM_001183003.3*YNL165W
NM_001184490.1,NM_001184490.1*YNL162W-A
NM_001183000.1,NM_001183000.1*RPL42A
NM_001182999.3,NM_001182999.3*CBK1
NM_001182998.1,NM_001182998.1*YGP1
NM_001182996.1,NM_001182996.1*PGA1
NM_001182995.1,NM_001182995.1*IGO1
NM_001182993.1,NM_001182993.1*CUZ1
NM_001182990.1,NM_001182990.1*INN1
NM_001182985.1,NM_001182985.1*LSM7
NM_001182984.3,NM_001182984.3*YNL146W
NM_001182983.1,NM_001182983.1*MFA2
NM_001182980.1,NM_001182980.1*MEP2
NM_001182979.1,NM_001182979.1*AAH1
NM_001184519.1,NM_001184519.1*YSF3
NM_001182976.1,NM_001182976.1*SRV2
NM_001182974.1,NM_001182974.1*EAF7
rna-tF(GAA)N,rna-tF(GAA)N*tF(GAA)N
NM_001182970.1,NM_001182970.1*KRE33
NM_001182969.1,NM_001182969.1*TOM22
NM_001182967.1,NM_001182967.1*NRK1
NM_001182966.4,NM_001182966.4*TEP1
NM_001182965.3,NM_001182965.3*FAR11
NM_001182964.1,NM_001182964.1*SPC98
NM_001182962.3,NM_001182962.3*NAF1
NM_001182961.1,NM_001182961.1*NMA111
NM_001182957.3,NM_001182957.3*NCS2
NM_001182955.1,NM_001182955.1*MLS1
NM_001182954.3,NM_001182954.3*DMA2
NM_001182951.1,NM_001182951.1*RPC19
NM_001182950.3,NM_001182950.3*DBP2
NM_001182945.3,NM_001182945.3*YAF9
NM_001182941.3,NM_001182941.3*MET4
NM_001182940.3,NM_001182940.3*POL1
NM_001182939.1,NM_001182939.1*AVT4
NM_001182938.1,NM_001182938.1*MIC27
rna-tL(CAA)N,rna-tL(CAA)N*tL(CAA)N
NM_001182932.1,NM_001182932.1*APP1
NM_001182931.3,NM_001182931.3*YPT53
NM_001182930.1,NM_001182930.1*YNL092W
NM_001182929.1,NM_001182929.1*NST1
NM_001182928.3,NM_001182928.3*RHO2
NM_001182926.3,NM_001182926.3*TOP2
NM_001182925.1,NM_001182925.1*TCB2
NM_001182924.1,NM_001182924.1*SNN1
NM_001182923.3,NM_001182923.3*MKT1
NM_001182921.1,NM_001182921.1*SAL1
NM_001182920.3,NM_001182920.3*PMS1
NM_001182916.3,NM_001182916.3*NIS1
NM_001182915.1,NM_001182915.1*APJ1
NM_001182914.1,NM_001182914.1*MKS1
NM_001182913.3,NM_001182913.3*IMP4
NM_001182911.1,NM_001182911.1*MSK1
NM_001182910.1,NM_001182910.1*RNH201
NM_001182909.3,NM_001182909.3*LAT1
NM_001182908.1,NM_001182908.1*TOM7
NM_001184639.3,NM_001184639.3*YNL067W-B
NM_001182905.1,NM_001182905.1*RPL9B
NM_001182904.1,NM_001182904.1*SUN4
NM_001182903.3,NM_001182903.3*AQR1
NM_001182901.1,NM_001182901.1*MTQ1
NM_001182899.3,NM_001182899.3*NOP2
NM_001182895.3,NM_001182895.3*OCA2
NM_001184413.3,NM_001184413.3*YNL054W-A
NM_001281536.2,NM_001281536.2*YNL054W-B
NM_001182893.3,NM_001182893.3*VAC7
NM_001182892.3,NM_001182892.3*MSG5
NM_001182891.1,NM_001182891.1*COX5A
NM_001182890.1,NM_001182890.1*COG5
NM_001182887.1,NM_001182887.1*ALG11
NM_001182885.3,NM_001182885.3*YNL046W
NM_001182884.1,NM_001182884.1*LAP2
NM_001182883.1,NM_001182883.1*YIP3
rna-tP(UGG)N1,rna-tP(UGG)N1*tP(UGG)N1
NM_001184662.3,NM_001184662.3*YNL042W-B
NM_001182881.1,NM_001182881.1*BOP3
NM_001182879.3,NM_001182879.3*YNL040W
NM_001182878.3,NM_001182878.3*BDP1
NM_001182877.1,NM_001182877.1*GPI15
NM_001182875.3,NM_001182875.3*NCE103
rna-tP(UGG)N2,rna-tP(UGG)N2*tP(UGG)N2
NM_001182873.1,NM_001182873.1*YNL034W
NM_001182872.3,NM_001182872.3*YNL033W
NM_001182871.3,NM_001182871.3*SIW14
NM_001182869.1,NM_001182869.1*HHF2
NM_001182866.1,NM_001182866.1*CRZ1
NM_001182865.1,NM_001182865.1*SAM50
NR_132251.1,NR_132251.1*NME1
NR_132252.1,NR_132252.1*snR66
NM_001182860.1,NM_001182860.1*HDA1
rna-tI(AAU)N2,rna-tI(AAU)N2*tI(AAU)N2
NM_001182855.1,NM_001182855.1*PUB1
NM_001182854.1,NM_001182854.1*PBI2
NM_001182853.3,NM_001182853.3*HEF3
NM_001182851.1,NM_001182851.1*SPO1
NM_001182849.3,NM_001182849.3*YNL010W
NM_001182848.3,NM_001182848.3*IDP3
NM_001182845.3,NM_001182845.3*LST8
NM_001182843.1,NM_001182843.1*HRB1
NM_001182840.1,NM_001182840.1*DOM34
rna-tN(GUU)N2,rna-tN(GUU)N2*tN(GUU)N2
NM_001183181.1,NM_001183181.1*SWM2
NM_001183183.3,NM_001183183.3*VPS27
NM_001183185.1,NM_001183185.1*LRO1
NM_001183186.1,NM_001183186.1*NRM1
NM_001183187.3,NM_001183187.3*CSE2
NM_001183189.1,NM_001183189.1*URK1
NM_001183191.3,NM_001183191.3*YNR014W
NM_001183192.1,NM_001183192.1*SMM1
NM_001183194.3,NM_001183194.3*TIM23
NM_001183195.1,NM_001183195.1*RCF2
NM_001183196.1,NM_001183196.1*ARE2
NM_001183198.3,NM_001183198.3*YNR021W
NM_001183200.1,NM_001183200.1*SNF12
NM_001183201.3,NM_001183201.3*MPP6
NM_001183204.1,NM_001183204.1*BUD17
NM_001183205.3,NM_001183205.3*CPR8
NM_001183207.1,NM_001183207.1*ALG12
NM_001183209.3,NM_001183209.3*PPG1
NM_001183210.1,NM_001183210.1*ABZ1
NM_001183211.3,NM_001183211.3*SOL1
NM_001184446.3,NM_001184446.3*EGO4
NM_001183215.1,NM_001183215.1*DBP6
NM_001183217.3,NM_001183217.3*YNR040W
NM_001183220.1,NM_001183220.1*MVD1
NM_001183221.1,NM_001183221.1*AGA1
NM_001183222.3,NM_001183222.3*PET494
NM_001183223.1,NM_001183223.1*TRM112
NM_001183224.1,NM_001183224.1*FPK1
NM_001183225.3,NM_001183225.3*YNR048W
NR_132253.1,NR_132253.1*snR49
NM_001183235.1,NM_001183235.1*BIO3
NM_001183236.3,NM_001183236.3*MNT4
NM_001183237.1,NM_001183237.1*FRE4
NM_001183240.3,NM_001183240.3*YNR063W
NM_001183247.4,NM_001183247.4*PDR18
NM_001183249.1,NM_001183249.1*HXT17
NM_001183252.1,NM_001183252.1*COS10
NM_001183253.3,NM_001183253.3*PAU6
NM_001183177.1,NM_001183177.1*YRF1-6
NM_001183172.1,NM_001183172.1*SNO2
NM_001183169.1,NM_001183169.1*AAD14
NM_001183168.1,NM_001183168.1*RPD3
NM_001183167.1,NM_001183167.1*PEX6
NM_001183166.1,NM_001183166.1*MDJ2
NM_001183164.1,NM_001183164.1*PFA3
NM_001183163.1,NM_001183163.1*FIG4
NM_001183160.1,NM_001183160.1*KRE1
NM_001183156.1,NM_001183156.1*HXT14
NM_001183154.1,NM_001183154.1*PHA2
NM_001183153.1,NM_001183153.1*ATP11
NM_001183151.1,NM_001183151.1*EMW1
NM_001183149.1,NM_001183149.1*SKP2
NM_001183148.1,NM_001183148.1*ZIM17
NM_001183146.1,NM_001183146.1*KRI1
NM_001183145.1,NM_001183145.1*MCK1
NM_001183143.1,NM_001183143.1*BXI1
NM_001183140.1,NM_001183140.1*RPS19B
NM_001183139.1,NM_001183139.1*RPL18B
NM_001183135.1,NM_001183135.1*MON2
NM_001183132.1,NM_001183132.1*RIM21
NM_001183129.1,NM_001183129.1*MID1
rna-tG(UCC)N,rna-tG(UCC)N*SUF6
NM_001184415.2,NM_001184415.2*YNL284C-B
NM_001184414.1,NM_001184414.1*YNL284C-A
NM_001183122.1,NM_001183122.1*MRPL10
NM_001183121.1,NM_001183121.1*WSC2
NM_001183118.1,NM_001183118.1*ERG24
NM_001183112.1,NM_001183112.1*GOR1
NM_001183110.1,NM_001183110.1*SEC2
NM_001183109.2,NM_001183109.2*BNI1
NM_001183108.1,NM_001183108.1*ALP1
NM_001183103.1,NM_001183103.1*IST1
NM_001183102.1,NM_001183102.1*PDR17
NM_001183101.1,NM_001183101.1*YIF1
NM_001183098.1,NM_001183098.1*LTO1
NM_001183097.1,NM_001183097.1*ATX1
NM_001183096.1,NM_001183096.1*DSL1
NM_001183095.1,NM_001183095.1*SIP3
NM_001183093.1,NM_001183093.1*GIS2
NM_001183092.1,NM_001183092.1*RTC4
NM_001183090.1,NM_001183090.1*MRPL17
NM_001183089.1,NM_001183089.1*NRD1
NM_001183087.1,NM_001183087.1*MPA43
NM_001183086.1,NM_001183086.1*RPA49
NM_001183083.1,NM_001183083.1*CWC25
NM_001183082.1,NM_001183082.1*SUI1
NM_001183079.1,NM_001183079.1*ZWF1
NM_001183078.1,NM_001183078.1*NAR1
NM_001183069.1,NM_001183069.1*PDR16
NM_001183068.1,NM_001183068.1*ELA1
NM_001183067.1,NM_001183067.1*URE2
NM_001183065.1,NM_001183065.1*JJJ1
NM_001183063.1,NM_001183063.1*CNM67
NM_001183062.1,NM_001183062.1*SQS1
NR_132250.1,NR_132250.1*snR19
NM_001183059.1,NM_001183059.1*POP1
NM_001183057.1,NM_001183057.1*ALG9
NM_001183051.1,NM_001183051.1*RRG9
NM_001183049.1,NM_001183049.1*MRX7
NM_001183044.1,NM_001183044.1*RTT106
NM_001183042.1,NM_001183042.1*SPS18
NM_001183039.1,NM_001183039.1*PSY2
NM_001183038.1,NM_001183038.1*NNR1
NM_001183037.1,NM_001183037.1*GCR2
NM_001183035.1,NM_001183035.1*WHI3
NM_001183034.1,NM_001183034.1*SLZ1
NM_001183033.1,NM_001183033.1*YNL195C
NM_001183032.1,NM_001183032.1*YNL194C
NM_001183023.1,NM_001183023.1*MRPL19
NM_001270758.1,NM_001270758.1*YNL184C
NM_001183021.1,NM_001183021.1*NPR1
NM_001183020.1,NM_001183020.1*IPI3
NM_001183018.1,NM_001183018.1*RHO5
NM_001183015.2,NM_001183015.2*MRPL22
NM_001183014.2,NM_001183014.2*TDA7
NM_001183013.2,NM_001183013.2*NOP13
NM_001183011.1,NM_001183011.1*MDG1
NM_001183007.1,NM_001183007.1*PSD1
NM_001183006.1,NM_001183006.1*FMP41
NM_001183005.1,NM_001183005.1*SKO1
NM_001183004.1,NM_001183004.1*BNI5
NM_001183002.1,NM_001183002.1*IBD2
NM_001183001.1,NM_001183001.1*RIA1
NM_001182997.1,NM_001182997.1*ASI2
NM_001182994.3,NM_001182994.3*NSG2
NM_001182992.1,NM_001182992.1*YCK2
NM_001182991.1,NM_001182991.1*GIM3
NM_001182989.3,NM_001182989.3*RPC31
NM_001182987.1,NM_001182987.1*PGA2
NM_001182986.1,NM_001182986.1*ALF1
NM_001184663.1,NM_001184663.1*YNL146C-A
NM_001182982.1,NM_001182982.1*YNL144C
NM_001270759.1,NM_001270759.1*YNL143C
NM_001270760.1,NM_001270760.1*YNL140C
NM_001182977.3,NM_001182977.3*THO2
NM_001182975.3,NM_001182975.3*NAM9
NM_001182973.1,NM_001182973.1*FPR1
NM_001182972.3,NM_001182972.3*YNL134C
NM_001182971.3,NM_001182971.3*FYV6
NM_001182968.3,NM_001182968.3*CPT1
NM_001184574.1,NM_001184574.1*DGR1
NM_001182963.1,NM_001182963.1*ESBP6
NM_001182960.1,NM_001182960.1*YNL122C
NM_001182959.3,NM_001182959.3*TOM70
NM_001182956.1,NM_001182956.1*DCP2
NM_001182953.1,NM_001182953.1*YNL115C
NM_001182949.3,NM_001182949.3*CYB5
NM_001182948.1,NM_001182948.1*NOP15
NM_001182946.1,NM_001182946.1*YNL108C
NM_001182944.1,NM_001182944.1*INP52
NM_001182942.1,NM_001182942.1*LEU4
NM_001182937.3,NM_001182937.3*OCA1
NM_001182936.1,NM_001182936.1*RAS2
NM_001184620.1,NM_001184620.1*YNL097C-B
NM_001182935.3,NM_001182935.3*PHO23
NM_001182934.3,NM_001182934.3*RPS7B
NM_001182933.1,NM_001182933.1*YNL095C
NM_001182922.1,NM_001182922.1*END3
NM_001182919.3,NM_001182919.3*SWS2
NM_001182918.1,NM_001182918.1*EOS1
NM_001182917.1,NM_001182917.1*TPM1
NM_001182912.3,NM_001182912.3*MLF3
NM_001182907.1,NM_001182907.1*RPL16B
NM_001182906.3,NM_001182906.3*FKH2
NM_001182902.1,NM_001182902.1*YDJ1
NM_001182900.3,NM_001182900.3*GCD10
NM_001182898.1,NM_001182898.1*ARP5
NM_001182897.1,NM_001182897.1*YNL058C
NM_001182894.1,NM_001182894.1*POR1
rna-tD(GUC)N,rna-tD(GUC)N*tD(GUC)N
NM_001182889.3,NM_001182889.3*YNL050C
NM_001182888.1,NM_001182888.1*SFB2
NM_001182886.3,NM_001182886.3*SLM2
NM_001182880.1,NM_001182880.1*COG6
NM_001182876.1,NM_001182876.1*IDH1
rna-tT(AGU)N2,rna-tT(AGU)N2*tT(AGU)N2
NM_001182874.1,NM_001182874.1*YNL035C
rna-tI(AAU)N1,rna-tI(AAU)N1*tI(AAU)N1
NM_001182870.1,NM_001182870.1*HHT2
NM_001182868.3,NM_001182868.3*KTR5
NM_001182864.3,NM_001182864.3*SSN8
NM_001184619.3,NM_001184619.3*KSH1
NM_001182863.1,NM_001182863.1*EFM6
NM_001182862.1,NM_001182862.1*FAP1
NM_001182861.3,NM_001182861.3*RCM1
NM_001182859.1,NM_001182859.1*ARK1
NM_001182858.3,NM_001182858.3*YNL019C
NM_001182857.3,NM_001182857.3*YNL018C
NM_001182850.1,NM_001182850.1*YNL011C
NM_001182847.2,NM_001182847.2*ASI3
NM_001182846.1,NM_001182846.1*SIS1
NM_001182844.1,NM_001182844.1*MRP7
NM_001182842.3,NM_001182842.3*PET8
NM_001182841.3,NM_001182841.3*RLP7
NM_001183178.1,NM_001183178.1*CIT1
rna-tP(AGG)N,rna-tP(AGG)N*SUF10
NM_001183179.3,NM_001183179.3*ATO2
NM_001183180.1,NM_001183180.1*RPC34
NM_001183184.3,NM_001183184.3*ATG3
NM_001183188.1,NM_001183188.1*PRP2
NM_001183190.3,NM_001183190.3*PHO91
NM_001183193.1,NM_001183193.1*ACC1
NM_001183197.3,NM_001183197.3*ATP23
NM_001183199.1,NM_001183199.1*MRPL50
NM_001183203.1,NM_001183203.1*SEC12
NM_001183206.3,NM_001183206.3*YNR029C
NM_001183208.1,NM_001183208.1*SSK2
NM_001184344.1,NM_001184344.1*HUB1
NM_001183212.1,NM_001183212.1*ARC35
NM_001183213.1,NM_001183213.1*MRPS12
NM_001183214.3,NM_001183214.3*RSM19
NM_001183216.1,NM_001183216.1*ZRG17
NM_001183218.3,NM_001183218.3*COQ2
NM_001183226.3,NM_001183226.3*MSO1
NM_001183227.1,NM_001183227.1*LYS9
NM_001183228.1,NM_001183228.1*BRE5
NM_001183229.3,NM_001183229.3*POP2
NM_001183230.1,NM_001183230.1*NOG2
NR_132254.1,NR_132254.1*snR191
NM_001183231.1,NM_001183231.1*ESF2
rna-tL(UAA)N,rna-tL(UAA)N*tL(UAA)N
NM_001183232.3,NM_001183232.3*HOL1
NM_001183233.3,NM_001183233.3*BIO5
NM_001183234.1,NM_001183234.1*BIO4
NM_001183238.1,NM_001183238.1*YNR061C
NM_001183239.3,NM_001183239.3*YNR062C
NM_001183241.1,NM_001183241.1*YNR064C
NM_001183242.1,NM_001183242.1*YNR065C
NM_001183243.3,NM_001183243.3*YNR066C
NM_001183244.1,NM_001183244.1*DSE4
NM_001183245.1,NM_001183245.1*YNR068C
NM_001183246.3,NM_001183246.3*BSC5
NM_001183248.1,NM_001183248.1*YNR071C
NM_001183250.3,NM_001183250.3*MAN2
NM_001183251.1,NM_001183251.1*AIF1
NM_001184621.3,NM_001184621.3*YNR075C-A
NM_001267862.1,NM_001267862.1*YNR077C
NM_001184623.1,NM_001184623.1*YOL166W-A
NM_001184575.1,NM_001184575.1*YOL164W-A
NM_001183417.1,NM_001183417.1*BDS1
NM_001183416.1,NM_001183416.1*YOL163W
NM_001183415.1,NM_001183415.1*YOL162W
NM_001348873.1,NM_001348873.1*YOL160W
NM_001183409.1,NM_001183409.1*HXT11
NM_001184666.1,NM_001184666.1*YOL155W-A
NM_001183407.1,NM_001183407.1*ZPS1
NM_001183406.1,NM_001183406.1*FRE7
NM_001183405.1,NM_001183405.1*GRE2
NM_001183403.1,NM_001183403.1*DCP1
NM_001183400.1,NM_001183400.1*PSF3
NM_001183398.1,NM_001183398.1*NOP8
NM_001183396.2,NM_001183396.2*RRP40
NM_001183395.2,NM_001183395.2*PPM2
NM_001183394.1,NM_001183394.1*ARG8
NM_001183391.1,NM_001183391.1*BSC6
NM_001183387.1,NM_001183387.1*HRT1
NM_001183386.1,NM_001183386.1*GAS4
NM_001183385.1,NM_001183385.1*YOL131W
NM_001183384.1,NM_001183384.1*ALR1
NM_001183383.1,NM_001183383.1*VPS68
NM_001183381.1,NM_001183381.1*RPL25
NM_001183379.2,NM_001183379.2*TRM13
NM_001183377.1,NM_001183377.1*HRP1
NM_001183371.1,NM_001183371.1*RRI2
NM_001183370.1,NM_001183370.1*MSN1
NM_001183369.1,NM_001183369.1*PAP2
NM_001183367.1,NM_001183367.1*SKM1
NM_001183366.1,NM_001183366.1*MSB4
NM_001183364.1,NM_001183364.1*SHR5
NM_001183363.1,NM_001183363.1*ZEO1
NM_001183361.1,NM_001183361.1*YOL107W
rna-tT(AGU)O1,rna-tT(AGU)O1*tT(AGU)O1
NM_001184383.1,NM_001184383.1*YOL103W-A
NM_001184384.2,NM_001184384.2*YOL103W-B
NM_001183357.1,NM_001183357.1*ITR2
NM_001183354.1,NM_001183354.1*PKH2
NM_001184665.1,NM_001184665.1*YOL097W-A
NM_001183347.1,NM_001183347.1*TRM10
NM_001183346.1,NM_001183346.1*YPQ1
NM_001183345.1,NM_001183345.1*SPO21
NM_001183344.1,NM_001183344.1*MSH2
NM_001184492.1,NM_001184492.1*MHF1
NM_001183338.1,NM_001183338.1*PHM7
NM_001183337.1,NM_001183337.1*ATG34
NM_001183336.1,NM_001183336.1*ATG19
NM_001183335.1,NM_001183335.1*IRA2
NM_001183332.1,NM_001183332.1*AVO1
NM_001184377.1,NM_001184377.1*ATP19
NM_001183330.1,NM_001183330.1*MDM20
NM_001183327.1,NM_001183327.1*THP1
NM_001183326.1,NM_001183326.1*SDH5
NM_001183324.1,NM_001183324.1*NUF2
NM_001183316.1,NM_001183316.1*PRS5
NM_001183314.1,NM_001183314.1*GPD2
NM_001183313.2,NM_001183313.2*ARG1
NM_001183312.1,NM_001183312.1*YOL057W
NM_001183311.1,NM_001183311.1*GPM3
rna-tN(GUU)O1,rna-tN(GUU)O1*tN(GUU)O1
NM_001183309.1,NM_001183309.1*PSH1
NM_001183308.1,NM_001183308.1*AIM39
NR_132256.1,NR_132256.1*snR81
NM_001183305.1,NM_001183305.1*GAL11
NM_001183303.1,NM_001183303.1*GSH2
NM_001183299.1,NM_001183299.1*PSK2
NM_001183298.1,NM_001183298.1*PEX15
NM_001183296.1,NM_001183296.1*NGL1
NM_001183293.1,NM_001183293.1*RPP2A
NM_001183292.1,NM_001183292.1*PRE6
NM_001183290.1,NM_001183290.1*YOL036W
NR_132257.1,NR_132257.1*snR50
NM_001183288.1,NM_001183288.1*SMC5
NM_001183287.1,NM_001183287.1*MSE1
NM_001183286.1,NM_001183286.1*OPI10
NM_001183284.1,NM_001183284.1*GAS5
rna-tS(GCU)O,rna-tS(GCU)O*tS(GCU)O
NM_001183279.1,NM_001183279.1*LAG2
NM_001183278.1,NM_001183278.1*YOL024W
NM_001183277.1,NM_001183277.1*IFM1
rna-tG(GCC)O2,rna-tG(GCC)O2*SUF17
NM_001183274.1,NM_001183274.1*TAT2
rna-tY(GUA)O,rna-tY(GUA)O*SUP3
NM_001184622.1,NM_001184622.1*YOL019W-A
NM_001183273.1,NM_001183273.1*YOL019W
NM_001183271.1,NM_001183271.1*ESC8
NM_001183269.1,NM_001183269.1*IRC10
NM_001183268.1,NM_001183268.1*YOL014W
NM_001184640.1,NM_001184640.1*YOL013W-A
rna-tP(UGG)O1,rna-tP(UGG)O1*tP(UGG)O1
NM_001183265.1,NM_001183265.1*PLB3
NM_001183264.1,NM_001183264.1*RCL1
NM_001183262.1,NM_001183262.1*COQ10
NM_001183258.1,NM_001183258.1*SIN3
NM_001183255.1,NM_001183255.1*PHO80
NM_001183420.1,NM_001183420.1*RRP6
NM_001183421.1,NM_001183421.1*ALG6
NM_001183422.1,NM_001183422.1*YSP3
NM_001183423.1,NM_001183423.1*UTP23
NM_001183428.1,NM_001183428.1*TIR4
NM_001183430.1,NM_001183430.1*AUS1
NM_001184576.1,NM_001184576.1*YOR011W-A
NM_001183431.1,NM_001183431.1*YOR012W
NM_001183433.1,NM_001183433.1*RTS1
NM_001348876.1,NM_001348876.1*YOR015W
NM_001183436.1,NM_001183436.1*PET127
NM_001183437.1,NM_001183437.1*ROD1
NM_001183438.1,NM_001183438.1*YOR019W
NM_001184536.1,NM_001184536.1*YOR020W-A
NM_001183444.1,NM_001183444.1*HST3
NM_001183445.1,NM_001183445.1*BUB3
NM_001183446.1,NM_001183446.1*STI1
NM_001348877.1,NM_001348877.1*YOR029W
NM_001183449.1,NM_001183449.1*DFG16
CRS5,CRS5*CRS5
NM_001184624.1,NM_001184624.1*YOR032W-A
NM_001183455.1,NM_001183455.1*PEP12
NM_001183456.1,NM_001183456.1*CYC2
NM_001183458.1,NM_001183458.1*CKB2
NM_001183459.1,NM_001183459.1*GLO4
NM_001183461.1,NM_001183461.1*CUE5
NM_001183462.1,NM_001183462.1*WHI2
NM_001183463.1,NM_001183463.1*IRC23
NM_001183464.1,NM_001183464.1*TOM6
NM_001183476.1,NM_001183476.1*SGT1
rna-tK(UUU)O,rna-tK(UUU)O*tK(UUU)O
NM_001183480.1,NM_001183480.1*CKA2
NM_001183482.1,NM_001183482.1*RPL3
NM_001183484.1,NM_001183484.1*CYT1
NM_001183485.1,NM_001183485.1*MSA1
NM_001183488.1,NM_001183488.1*VPS5
NM_001348878.1,NM_001348878.1*YOR072W
rna-tP(UGG)O2,rna-tP(UGG)O2*SUF11
NM_001184526.1,NM_001184526.1*YOR072W-B
NM_001183492.1,NM_001183492.1*SGO1
NM_001183494.1,NM_001183494.1*UFE1
NM_001183496.1,NM_001183496.1*RTS2
NM_001183497.1,NM_001183497.1*BUD21
NM_001183499.1,NM_001183499.1*DIA2
NM_001183502.1,NM_001183502.1*WHI5
NM_001183503.1,NM_001183503.1*LPX1
NM_001183504.1,NM_001183504.1*OST3
rna-tN(GUU)O2,rna-tN(GUU)O2*tN(GUU)O2
NM_001183506.1,NM_001183506.1*YVC1
NM_001183510.1,NM_001183510.1*TMA46
NM_001183511.1,NM_001183511.1*ECM3
NM_001183513.1,NM_001183513.1*ARF3
NM_001183515.1,NM_001183515.1*RPS7A
NM_001183518.1,NM_001183518.1*KTR1
NM_001183520.1,NM_001183520.1*RAS1
NM_001183523.1,NM_001183523.1*PIN2
NM_001270761.1,NM_001270761.1*YOR105W
NM_001183525.1,NM_001183525.1*VAM3
NM_001183526.3,NM_001183526.3*RGS2
NM_001183527.1,NM_001183527.1*LEU9
NM_001183528.3,NM_001183528.3*INP53
NM_001183529.1,NM_001183529.1*TFC7
NM_001183530.3,NM_001183530.3*YOR111W
NM_001183531.1,NM_001183531.1*CEX1
NM_001183532.3,NM_001183532.3*AZF1
NM_001183533.1,NM_001183533.1*YOR114W
NM_001183536.3,NM_001183536.3*RPT5
NM_001183537.1,NM_001183537.1*RTC5
NM_001183539.1,NM_001183539.1*GCY1
NM_001183546.1,NM_001183546.1*RGA1
rna-tD(GUC)O,rna-tD(GUC)O*tD(GUC)O
NM_001183551.3,NM_001183551.3*VPS17
NM_001183552.1,NM_001183552.1*EFT1
NM_001183553.3,NM_001183553.3*BAG7
NM_001183555.1,NM_001183555.1*IDH2
NM_001183559.4,NM_001183559.4*SFL1
NM_001183561.3,NM_001183561.3*LSC1
NM_001184385.3,NM_001184385.3*YOR142W-A
NM_001184386.2,NM_001184386.2*YOR142W-B
NM_001183566.3,NM_001183566.3*MDM32
NM_001183569.1,NM_001183569.1*MRPL23
NM_001183572.3,NM_001183572.3*PDR5
NM_001183573.1,NM_001183573.1*SLP1
NM_001183577.1,NM_001183577.1*PET123
NM_001183579.1,NM_001183579.1*MTR10
NM_001183582.1,NM_001183582.1*DDP1
NM_001183584.1,NM_001183584.1*SEY1
NM_001183587.3,NM_001183587.3*GLN4
NM_001183591.3,NM_001183591.3*YRM1
NM_001183592.1,NM_001183592.1*DCS2
NM_001183593.3,NM_001183593.3*MED4
NM_001183595.3,NM_001183595.3*HEM15
NM_001183600.1,NM_001183600.1*LAS17
NM_001183602.1,NM_001183602.1*FYV12
NM_001183603.3,NM_001183603.3*SER1
NM_001183605.3,NM_001183605.3*YOR186W
NM_001183606.1,NM_001183606.1*TUF1
NM_001183607.3,NM_001183607.3*MSB1
NM_001183608.1,NM_001183608.1*IES4
NM_001183609.3,NM_001183609.3*SPR1
NM_001183610.1,NM_001183610.1*ULS1
rna-tM(CAU)O1,rna-tM(CAU)O1*IMT1
NM_001183612.3,NM_001183612.3*PEX27
NM_001183614.3,NM_001183614.3*SLK19
NM_001183616.3,NM_001183616.3*MCA1
NM_001183621.1,NM_001183621.1*HIS3
NM_001183623.3,NM_001183623.3*DED1
NM_001183625.3,NM_001183625.3*NOC2
NM_001183627.3,NM_001183627.3*PTP2
NM_001183629.3,NM_001183629.3*RPB10
NM_001183631.3,NM_001183631.3*STE4
NM_001183636.1,NM_001183636.1*RFC1
NM_001183639.1,NM_001183639.1*RCN2
NM_001183641.1,NM_001183641.1*ODC2
NM_001183642.3,NM_001183642.3*DSC3
NM_001183646.1,NM_001183646.1*HER1
NM_001183648.1,NM_001183648.1*WTM2
NM_001183649.3,NM_001183649.3*WTM1
NM_001183650.1,NM_001183650.1*MKK1
NM_001183651.3,NM_001183651.3*MGE1
NM_001183652.1,NM_001183652.1*KIN4
NM_001348879.1,NM_001348879.1*IRC13
NR_132262.1,NR_132262.1*snR17a
NM_001183655.1,NM_001183655.1*DFR1
NM_001183656.3,NM_001183656.3*HES1
NM_001183657.1,NM_001183657.1*YOR238W
NM_001183658.6,NM_001183658.6*ABP140
NM_001183660.1,NM_001183660.1*MET7
NM_001183663.3,NM_001183663.3*ESA1
NM_001183666.1,NM_001183666.1*SRL1
NM_001183671.1,NM_001183671.1*TMA16
NM_001183672.3,NM_001183672.3*NAT5
NM_001183674.3,NM_001183674.3*OSW1
NM_001183676.3,NM_001183676.3*CDC31
NM_001183677.1,NM_001183677.1*HNT3
NM_001183679.1,NM_001183679.1*GCD1
NM_001183681.1,NM_001183681.1*GPN2
NM_001183683.3,NM_001183683.3*DSE3
